hour,channel,nip_h_chan
1,261,38
1,262,67
1,265,100974
1,266,17022
1,268,138
1,272,6
1,274,181
1,277,42
1,278,11167
1,280,2653
1,281,1
1,282,606
1,311,18
1,315,21465
1,317,3550
1,319,13408
1,320,100
1,322,4261
1,325,6787
1,326,5311
1,328,29406
1,330,151
1,332,82
1,333,596
1,334,38524
1,340,15041
1,341,41
1,343,7460
1,347,18000
1,349,17641
1,353,62
1,356,40
1,360,430
1,361,428
1,364,7748
1,371,10606
1,373,1749
1,376,7040
1,377,26799
1,379,71058
1,386,15775
1,391,77
1,400,8506
1,401,20628
1,402,7382
1,404,1515
1,406,803
1,407,4
1,408,7
1,409,33963
1,410,12
1,411,354
1,412,11225
1,414,29
1,416,41
1,417,5025
1,419,55
1,420,6
1,421,412
1,424,26074
1,430,9962
1,435,37887
1,439,49981
1,442,65329
1,445,15376
1,446,234
1,448,2898
1,449,866
1,450,99
1,451,23
1,452,28718
1,453,48
1,455,21
1,456,112
1,457,40
1,458,1
1,459,22496
1,460,284
1,463,11392
1,465,9
1,466,71834
1,467,2048
1,469,44672
1,477,94928
1,478,10727
1,479,95
1,480,47597
1,481,13762
1,483,1
1,484,198
1,487,6812
1,488,39
1,489,49853
1,490,4336
1,497,8027
1,498,13
2,0,19
2,3,10533
2,4,6
2,5,993
2,13,563
2,14,1
2,15,31
2,17,3819
2,18,159
2,19,21658
2,21,4690
2,22,120
2,24,222
2,30,484
2,101,7106
2,105,13099
2,107,201539
2,108,169
2,110,107
2,111,9851
2,113,2466
2,114,1
2,115,19542
2,116,11999
2,118,737
2,120,411
2,121,74486
2,122,43702
2,123,5
2,124,7850
2,125,14170
2,126,47
2,127,73908
2,128,61701
2,129,6
2,130,24653
2,134,70059
2,135,39672
2,137,44398
2,138,4
2,140,22097
2,145,133640
2,150,3866
2,153,84634
2,160,128
2,171,375
2,173,24366
2,174,50
2,178,103999
2,181,2
2,182,570
2,203,109
2,205,64022
2,208,49
2,210,790
2,211,24053
2,212,20003
2,213,16974
2,215,24086
2,216,1
2,219,41405
2,222,1
2,224,261
2,225,2
2,232,53181
2,234,8894
2,236,24347
2,237,35061
2,242,4073
2,243,931
2,244,29887
2,245,620
2,253,84
2,256,2
2,258,10550
2,259,74757
2,261,26
2,262,83
2,265,99960
2,266,17335
2,268,393
2,272,31
2,274,185
2,277,55
2,278,11485
2,280,2324
2,281,1
2,282,777
2,311,51
2,315,21346
2,317,3550
2,319,13390
2,320,118
2,322,1549
2,325,6773
2,326,4929
2,328,30521
2,330,70
2,332,98
2,333,829
2,334,36607
2,340,16827
2,341,11
2,343,7462
2,347,20004
2,349,17811
2,352,3
2,353,85
2,356,35
2,360,431
2,361,418
2,364,7923
2,371,1116
2,373,1183
2,376,16120
2,377,26968
2,379,69893
2,386,15796
2,391,76
2,400,7855
2,401,20609
2,402,6806
2,404,1226
2,406,795
2,407,4
2,409,34614
2,410,11
2,411,1417
2,412,11228
2,414,32
2,416,52
2,417,4402
2,419,160
2,420,6
2,421,373
2,424,26196
2,430,9933
2,435,38929
2,439,49525
2,442,62509
2,445,14183
2,446,449
2,448,2837
2,449,620
2,450,93
2,451,76
2,452,30044
2,453,11272
2,455,22
2,456,91
2,457,29
2,459,25632
2,460,190
2,463,11663
2,465,17
2,466,66580
2,467,1580
2,469,44822
2,474,1
2,477,95268
2,478,10469
2,479,89
2,480,48674
2,481,13544
2,483,5
2,484,9628
2,487,6767
2,488,707
2,489,50736
2,490,1565
2,497,8175
2,498,28
3,0,19
3,3,10705
3,4,9
3,5,85
3,13,567
3,14,1
3,15,32
3,17,4066
3,18,363
3,19,23234
3,21,3110
3,22,92
3,24,259
3,30,330
3,101,6930
3,105,12053
3,107,207217
3,108,174
3,110,104
3,111,10608
3,113,2639
3,114,1
3,115,20329
3,116,13181
3,118,546
3,120,278
3,121,64053
3,122,46088
3,123,3
3,124,8238
3,125,15078
3,126,22
3,127,75567
3,128,54960
3,129,8
3,130,30369
3,134,73820
3,135,43760
3,137,51923
3,138,1
3,140,23020
3,145,135126
3,150,4136
3,153,89296
3,160,92
3,171,345
3,173,26353
3,174,27
3,178,101254
3,181,1
3,182,574
3,203,135
3,205,63724
3,208,41
3,210,1081
3,211,29838
3,212,21246
3,213,18024
3,215,25293
3,216,1
3,219,43964
3,222,28
3,223,1
3,224,315
3,232,57020
3,234,8498
3,236,22063
3,237,30149
3,242,4189
3,243,4345
3,244,30027
3,245,600
3,256,2
3,258,11378
3,259,75142
3,261,11
3,262,50
3,265,97054
3,266,18542
3,268,262
3,272,9
3,274,302
3,277,40
3,278,12076
3,280,1765
3,281,1
3,282,773
3,311,67
3,315,22708
3,317,3698
3,319,14287
3,320,547
3,322,1
3,325,7182
3,326,4406
3,328,32285
3,330,54
3,332,62
3,333,752
3,334,39594
3,337,1
3,340,17881
3,341,12
3,343,8083
3,347,19642
3,349,18713
3,352,2
3,353,65
3,356,7
3,360,302
3,361,269
3,364,8477
3,371,951
3,373,1140
3,376,22762
3,377,28532
3,379,74081
3,386,16606
3,391,80
3,400,7867
3,401,21767
3,402,6750
3,404,1186
3,406,569
3,407,3
3,409,36671
3,410,15
3,411,860
3,412,11821
3,414,130
3,416,46
3,417,4594
3,419,251
3,420,4
3,421,318
3,424,27562
3,430,10707
3,435,40441
3,439,52907
3,442,65867
3,445,14791
3,446,118
3,448,3478
3,449,437
3,450,89
3,451,76
3,452,36324
3,453,5399
3,455,19
3,456,129
3,457,7
3,459,25223
3,460,190
3,463,12475
3,465,79
3,466,68659
3,467,1785
3,469,46644
3,477,98500
3,478,11218
3,479,51
3,480,51467
3,481,14675
3,484,4700
3,486,1
3,487,7080
3,488,11565
3,489,54061
3,496,1
3,497,8400
3,498,20
4,0,80
4,3,23391
4,4,14
4,5,218
4,13,894
4,15,62
4,17,10038
4,18,1304
4,19,58817
4,21,5974
4,22,204
4,24,612
4,30,792
4,101,15510
4,105,23166
4,107,429784
4,108,396
4,110,162
4,111,28967
4,113,5186
4,115,55832
4,116,35461
4,118,1236
4,120,558
4,121,157764
4,122,112073
4,123,2
4,124,20622
4,125,40246
4,126,56
4,127,191689
4,128,167243
4,129,22
4,130,75904
4,134,191095
4,135,110703
4,137,125032
4,138,2
4,140,53396
4,145,159824
4,150,9884
4,153,227242
4,160,380
4,171,994
4,173,71453
4,174,116
4,178,182789
4,181,6
4,182,930
4,203,308
4,205,147859
4,208,116
4,210,2466
4,211,71233
4,212,48950
4,213,34681
4,215,63635
4,216,12
4,219,108155
4,222,6
4,223,4
4,224,954
4,232,129032
4,233,2
4,234,18427
4,236,58927
4,237,70536
4,242,10677
4,243,5062
4,244,69568
4,245,1452
4,251,2
4,253,14
4,258,29724
4,259,169974
4,261,40
4,262,130
4,265,218274
4,266,46268
4,268,518
4,272,18
4,274,718
4,277,166
4,278,28651
4,280,4236
4,282,1434
4,311,100
4,315,57804
4,317,9398
4,319,39395
4,320,792
4,325,19975
4,326,9438
4,328,76131
4,330,116
4,332,130
4,333,1648
4,334,72269
4,340,43125
4,341,40
4,343,80828
4,347,31271
4,349,50819
4,352,4
4,353,118
4,356,44
4,360,740
4,361,654
4,364,16387
4,371,2082
4,373,2174
4,376,49754
4,377,70430
4,379,181379
4,386,39908
4,391,104
4,400,13154
4,401,52437
4,402,14876
4,404,3282
4,406,1126
4,407,4
4,409,88757
4,410,32
4,411,1594
4,412,28329
4,414,172
4,416,84
4,417,13425
4,419,514
4,420,16
4,421,800
4,424,71778
4,430,29825
4,435,97226
4,439,142900
4,442,166111
4,445,40438
4,446,248
4,448,7626
4,449,1090
4,450,130
4,451,204
4,452,95019
4,453,2660
4,455,44
4,456,266
4,457,26
4,458,6
4,459,51899
4,460,480
4,463,29473
4,465,268
4,466,168479
4,467,4300
4,469,123800
4,477,243723
4,478,31264
4,479,162
4,480,122464
4,481,37855
4,484,378
4,487,19615
4,488,30611
4,489,130990
4,497,21303
4,498,22
5,0,50
5,3,22952
5,4,12
5,5,200
5,13,1052
5,15,54
5,17,8242
5,18,718
5,19,47360
5,21,6122
5,22,160
5,24,600
5,30,726
5,101,15272
5,105,23196
5,107,378620
5,108,346
5,110,170
5,111,22392
5,113,4966
5,114,50
5,115,41914
5,116,46764
5,118,1206
5,120,562
5,121,137090
5,122,86588
5,123,12
5,124,16842
5,125,29220
5,126,68
5,127,174272
5,128,142952
5,129,10
5,130,68446
5,134,148078
5,135,104968
5,137,107940
5,140,43136
5,145,88240
5,150,8464
5,153,183408
5,160,336
5,169,4
5,171,788
5,173,56102
5,174,88
5,178,165846
5,181,4
5,182,1090
5,203,298
5,205,135148
5,208,98
5,210,2102
5,211,74232
5,212,41436
5,213,31486
5,215,56040
5,216,2
5,219,88270
5,223,2
5,224,712
5,232,146758
5,234,19150
5,236,60458
5,237,70742
5,242,8632
5,243,44434
5,244,62962
5,245,1460
5,253,16
5,256,6
5,258,23746
5,259,150524
5,261,48
5,262,124
5,265,196134
5,266,37354
5,268,424
5,272,58
5,274,542
5,277,118
5,278,23874
5,280,3868
5,281,2
5,282,1398
5,311,46
5,315,46218
5,317,7644
5,319,29958
5,320,244
5,322,2
5,325,15174
5,326,8802
5,328,64134
5,330,94
5,332,154
5,333,1600
5,334,71052
5,340,43102
5,341,16
5,343,17226
5,347,28516
5,349,39620
5,352,4
5,353,158
5,356,44
5,360,698
5,361,586
5,364,17524
5,371,2046
5,373,7660
5,376,41380
5,377,58278
5,379,155410
5,386,33344
5,391,86
5,400,11400
5,401,44262
5,402,14222
5,404,2400
5,406,942
5,407,6
5,408,56
5,409,74398
5,410,16
5,411,1570
5,412,23792
5,414,74
5,416,114
5,417,9498
5,419,610
5,420,10
5,421,718
5,424,56856
5,430,22732
5,435,81108
5,439,110826
5,442,133488
5,445,30192
5,446,200
5,448,6432
5,449,1088
5,450,190
5,451,178
5,452,81554
5,453,1594
5,455,46
5,456,208
5,457,42
5,459,50718
5,460,476
5,463,24368
5,465,292
5,466,136692
5,467,3364
5,469,98792
5,477,220136
5,478,23832
5,479,96
5,480,101890
5,481,30018
5,484,316
5,487,15234
5,488,13652
5,489,107636
5,490,2
5,497,17308
5,498,34
6,0,23
6,3,10910
6,4,5
6,5,46
6,13,459
6,15,34
6,17,3638
6,18,276
6,19,20888
6,21,3927
6,22,84
6,24,216
6,30,245
6,101,5944
6,105,10950
6,107,179461
6,108,153
6,110,99
6,111,9710
6,113,2267
6,114,30
6,115,19155
6,116,22711
6,118,475
6,120,244
6,121,60212
6,122,38179
6,123,5
6,124,7365
6,125,14881
6,126,19
6,127,74038
6,128,68221
6,129,6
6,130,30358
6,134,66754
6,135,45658
6,137,54869
6,140,20230
6,145,38190
6,150,3656
6,153,82628
6,160,111
6,171,285
6,173,23925
6,174,44
6,178,82599
6,181,2
6,182,477
6,203,137
6,205,63891
6,208,36
6,210,834
6,211,34804
6,212,19112
6,213,14833
6,215,24838
6,216,9
6,219,39702
6,222,3
6,223,1
6,224,423
6,225,2
6,232,65288
6,234,9330
6,236,30019
6,237,34034
6,242,3776
6,243,16460
6,244,29319
6,245,510
6,253,6
6,256,6
6,258,11810
6,259,74533
6,261,26
6,262,50
6,265,103529
6,266,16426
6,268,189
6,272,2
6,274,300
6,277,51
6,278,10834
6,280,1594
6,281,1
6,282,649
6,311,28
6,315,20345
6,317,3178
6,319,13215
6,320,168
6,325,6465
6,326,5823
6,328,29082
6,330,26
6,332,61
6,333,839
6,334,37917
6,340,21428
6,341,9
6,343,7818
6,347,14796
6,349,17194
6,352,2
6,353,69
6,356,20
6,360,279
6,361,229
6,364,8977
6,371,869
6,373,2493
6,376,18858
6,377,25628
6,379,68641
6,386,14934
6,391,29
6,400,5838
6,401,19829
6,402,6509
6,404,1055
6,406,393
6,407,5
6,408,27
6,409,33332
6,410,9
6,411,715
6,412,10715
6,414,41
6,416,42
6,417,4632
6,419,308
6,420,2
6,421,325
6,424,25024
6,430,9714
6,435,36363
6,439,47858
6,442,62480
6,445,14020
6,446,106
6,448,3271
6,449,447
6,450,102
6,451,60
6,452,35456
6,453,219
6,455,20
6,456,112
6,457,17
6,459,25247
6,460,250
6,463,11142
6,465,148
6,466,60477
6,467,1381
6,469,42723
6,477,97985
6,478,10178
6,479,26
6,480,46482
6,481,12915
6,484,138
6,487,6525
6,488,63
6,489,48447
6,497,7671
6,498,66
7,0,27
7,3,10571
7,4,3
7,5,54
7,13,323
7,15,20
7,17,3599
7,18,185
7,19,20152
7,21,2758
7,22,68
7,24,140
7,30,167
7,101,38300
7,105,14424
7,107,186776
7,108,148
7,110,80
7,111,9337
7,113,2220
7,114,29
7,115,18079
7,116,23685
7,118,367
7,120,196
7,121,58535
7,122,38478
7,123,11
7,124,7330
7,125,11427
7,126,14
7,127,72544
7,128,68319
7,129,3
7,130,29651
7,134,69228
7,135,42434
7,137,59113
7,140,21688
7,145,33882
7,150,3646
7,153,80851
7,160,88
7,171,343
7,173,23093
7,174,19
7,178,76739
7,181,2
7,182,329
7,203,136
7,205,63670
7,208,24
7,210,792
7,211,33855
7,212,19076
7,213,16152
7,215,24539
7,216,1
7,219,38341
7,224,458
7,225,776
7,232,120585
7,234,9246
7,236,29029
7,237,35209
7,242,3713
7,243,13771
7,244,29310
7,245,437
7,251,1
7,253,13
7,256,1
7,258,8866
7,259,71362
7,261,20
7,262,49
7,265,119450
7,266,16187
7,268,193
7,274,262
7,277,26
7,278,10503
7,280,1096
7,282,736
7,311,23
7,315,19901
7,317,3208
7,319,12580
7,320,190
7,325,6243
7,326,5991
7,328,28633
7,330,47
7,332,56
7,333,910
7,334,39788
7,340,20343
7,341,7
7,343,7303
7,347,14006
7,349,16384
7,352,6
7,353,68
7,356,13
7,360,201
7,361,134
7,364,8986
7,371,1123
7,373,2153
7,376,22609
7,377,24754
7,379,68059
7,386,14762
7,391,25
7,400,5454
7,401,19039
7,402,6614
7,404,760
7,406,304
7,407,5
7,408,27
7,409,32421
7,410,6
7,411,804
7,412,10372
7,414,191
7,416,25
7,417,4193
7,419,296
7,420,1
7,421,222
7,424,23894
7,430,9509
7,435,35353
7,439,46545
7,442,57129
7,445,13159
7,446,126
7,448,3163
7,449,432
7,450,118
7,451,76
7,452,35043
7,453,167
7,455,12
7,456,83
7,457,25
7,458,1
7,459,25089
7,460,164
7,463,10805
7,465,144
7,466,61424
7,467,1662
7,469,40956
7,477,92470
7,478,9872
7,479,25
7,480,45495
7,481,12681
7,484,97
7,487,6188
7,488,47
7,489,48058
7,497,7274
7,498,86
8,0,31
8,3,10270
8,4,12
8,5,44
8,13,389
8,15,56
8,17,3687
8,18,171
8,19,21674
8,21,2974
8,22,75
8,24,160
8,30,166
8,101,46345
8,105,17575
8,107,189607
8,108,96
8,110,71
8,111,10000
8,113,2425
8,114,29
8,115,20028
8,116,25021
8,118,399
8,120,155
8,121,60682
8,122,39139
8,123,6
8,124,7637
8,125,13535
8,126,23
8,127,71416
8,128,94237
8,129,1487
8,130,29290
8,134,78135
8,135,46130
8,137,64458
8,140,24821
8,145,42310
8,150,3740
8,153,86213
8,160,64
8,171,486
8,173,24519
8,174,44
8,178,74926
8,181,3
8,182,422
8,203,160
8,205,65202
8,208,45
8,210,789
8,211,30199
8,212,19160
8,213,19430
8,215,24797
8,216,7
8,219,40810
8,222,2
8,223,1
8,224,411
8,225,1003
8,232,141763
8,234,9034
8,236,27006
8,237,36214
8,242,3796
8,243,15016
8,244,31871
8,245,341
8,253,45
8,256,4
8,258,10885
8,259,77723
8,261,28
8,262,51
8,265,132454
8,266,16701
8,268,186
8,274,295
8,277,55
8,278,11143
8,280,908
8,281,1
8,282,834
8,311,44
8,315,21073
8,317,3360
8,319,13505
8,320,194
8,325,6634
8,326,6698
8,328,29174
8,330,61
8,332,64
8,333,1017
8,334,44815
8,340,17923
8,341,23
8,343,7870
8,347,14353
8,349,17173
8,352,10
8,353,62
8,356,6
8,360,265
8,361,160
8,364,8380
8,371,4282
8,373,2823
8,376,21860
8,377,26735
8,379,71769
8,386,15300
8,391,30
8,400,6068
8,401,20208
8,402,6398
8,404,1257
8,406,420
8,407,2
8,408,25
8,409,34384
8,410,5
8,411,972
8,412,11443
8,414,55
8,416,45
8,417,4876
8,419,314
8,420,5
8,421,255
8,424,25477
8,430,9924
8,435,37466
8,439,48886
8,442,64183
8,445,14944
8,446,259
8,448,3524
8,449,664
8,450,219
8,451,112
8,452,35100
8,453,175
8,455,16
8,456,97
8,457,17
8,458,1
8,459,25194
8,460,112
8,463,11548
8,465,130
8,466,66166
8,467,1807
8,469,42492
8,477,97080
8,478,10916
8,479,70
8,480,47997
8,481,13302
8,484,80
8,487,6581
8,488,70
8,489,50342
8,493,1
8,497,7961
8,498,52
9,0,28
9,3,21878
9,4,22
9,5,82
9,13,1252
9,15,72
9,17,7442
9,18,4546
9,19,41930
9,21,8071
9,22,134
9,24,326
9,30,742
9,101,52222
9,105,36505
9,107,509548
9,108,322
9,110,138
9,111,19224
9,113,16550
9,114,58
9,115,43197
9,116,48649
9,118,922
9,120,368
9,121,117075
9,122,82673
9,123,12
9,124,15367
9,125,29074
9,126,50
9,127,139688
9,128,177856
9,129,3512
9,130,55654
9,134,153937
9,135,85623
9,137,121747
9,140,60032
9,145,64875
9,150,7424
9,153,158201
9,160,196
9,171,1280
9,173,47459
9,174,52
9,178,229171
9,181,4
9,182,1302
9,203,238
9,205,123759
9,208,32
9,210,1862
9,211,54829
9,212,39329
9,213,43358
9,215,66955
9,216,6
9,219,80455
9,222,8
9,224,958
9,225,2204
9,232,349462
9,234,17213
9,236,50842
9,237,75102
9,242,7765
9,243,12999
9,244,70139
9,245,730
9,253,56
9,256,2
9,258,23058
9,259,161433
9,261,96
9,262,96
9,265,288305
9,266,33389
9,268,584
9,272,28
9,274,450
9,277,62
9,278,21741
9,280,2074
9,281,2
9,282,1724
9,311,124
9,315,41285
9,317,6652
9,319,26115
9,320,388
9,325,12988
9,326,12338
9,328,59624
9,330,660
9,332,156
9,333,2564
9,334,105382
9,340,32830
9,341,30
9,343,23049
9,347,40727
9,349,34138
9,352,14
9,353,132
9,356,14
9,360,469
9,361,422
9,364,16099
9,371,4620
9,373,3854
9,376,13256
9,377,52473
9,379,140326
9,386,30339
9,391,112
9,400,14706
9,401,39826
9,402,13592
9,404,410
9,406,794
9,407,4
9,408,50
9,409,67644
9,410,12
9,411,2071
9,412,22224
9,414,106
9,416,60
9,417,11584
9,419,628
9,420,46
9,421,530
9,424,50144
9,430,19422
9,435,73763
9,439,96145
9,442,132040
9,445,32765
9,446,570
9,448,8566
9,449,1514
9,450,298
9,451,232
9,452,66878
9,453,360
9,455,12
9,456,270
9,457,78
9,459,52406
9,460,260
9,463,22599
9,465,298
9,466,134311
9,467,4108
9,469,81017
9,477,189785
9,478,20744
9,479,98
9,480,93819
9,481,26810
9,484,194
9,487,12912
9,488,186
9,489,98456
9,497,15573
9,498,84
10,0,44
10,3,25240
10,4,30
10,5,2008
10,13,666
10,15,168
10,17,7896
10,18,54362
10,19,44554
10,21,8810
10,22,170
10,24,388
10,30,618
10,101,18952
10,105,39588
10,107,401958
10,108,298
10,110,212
10,111,20578
10,113,21762
10,114,46
10,115,45140
10,116,52584
10,118,942
10,120,376
10,121,119938
10,122,85560
10,123,12
10,124,15978
10,125,35860
10,126,42
10,127,146064
10,128,226980
10,129,3034
10,130,53496
10,134,177842
10,135,85222
10,137,111442
10,140,73548
10,145,71232
10,149,2
10,150,7850
10,153,170766
10,160,154
10,171,1548
10,172,2
10,173,51096
10,174,54
10,178,205430
10,181,2
10,182,678
10,203,360
10,205,129974
10,208,56
10,210,2388
10,211,50330
10,212,38884
10,213,40156
10,215,100576
10,216,10
10,219,85012
10,223,8
10,224,854
10,225,2458
10,232,328194
10,234,118144
10,236,50512
10,237,80452
10,242,8418
10,243,2492
10,244,72824
10,245,620
10,251,2
10,253,58
10,256,6
10,258,28930
10,259,165826
10,261,130
10,262,84
10,265,305420
10,266,35602
10,268,614
10,274,412
10,277,68
10,278,22942
10,280,2498
10,281,4
10,282,1942
10,311,112
10,315,43972
10,317,7018
10,319,28326
10,320,404
10,325,13702
10,326,10956
10,328,60344
10,330,2014
10,332,140
10,333,2184
10,334,91110
10,340,32006
10,341,52
10,343,26386
10,347,56816
10,349,36550
10,352,2
10,353,96
10,356,16
10,360,398
10,361,450
10,364,15730
10,371,1076
10,373,4422
10,376,43354
10,377,54756
10,379,146142
10,386,31538
10,391,234
10,400,15082
10,401,41866
10,402,16778
10,404,642
10,406,894
10,407,10
10,408,60
10,409,71370
10,410,18
10,411,1864
10,412,23002
10,414,96
10,416,96
10,417,11968
10,419,604
10,420,50
10,421,630
10,424,53482
10,430,20804
10,435,76754
10,439,102972
10,442,142698
10,445,34368
10,446,218
10,448,8584
10,449,1482
10,450,308
10,451,60
10,452,66044
10,453,424
10,455,50
10,456,410
10,457,82
10,459,54166
10,460,226
10,463,23440
10,465,274
10,466,130058
10,467,6462
10,469,84740
10,477,204244
10,478,22786
10,479,100
10,480,97628
10,481,28562
10,483,8
10,484,212
10,487,13976
10,488,182
10,489,100046
10,497,16278
10,498,40
11,0,48
11,3,15545
11,4,21
11,5,355
11,13,408
11,14,1
11,15,171
11,17,3813
11,18,13274
11,19,21243
11,21,2877
11,22,94
11,24,158
11,30,342
11,101,8119
11,105,17412
11,107,200248
11,108,149
11,110,112
11,111,9935
11,113,7235
11,114,4
11,115,23577
11,116,24970
11,118,610
11,120,280
11,121,59379
11,122,39848
11,123,9
11,124,7789
11,125,23528
11,126,23
11,127,70462
11,128,98345
11,129,515
11,130,18376
11,134,91157
11,135,44015
11,137,52181
11,140,46803
11,145,46325
11,150,3742
11,153,88804
11,160,211
11,171,856
11,172,1
11,173,24564
11,174,45
11,178,100914
11,181,5
11,182,441
11,203,201
11,205,66614
11,208,39
11,210,1445
11,211,17802
11,212,18623
11,213,19120
11,215,52307
11,216,7
11,219,41018
11,222,1
11,223,3
11,224,408
11,225,1541
11,232,181128
11,234,60965
11,236,25979
11,237,43785
11,242,3935
11,243,3833
11,244,44988
11,245,475
11,253,32
11,256,3
11,258,20625
11,259,81495
11,261,67
11,262,61
11,265,147610
11,266,17351
11,268,421
11,272,54
11,274,203
11,277,41
11,278,11185
11,280,1628
11,281,3
11,282,1104
11,311,43
11,315,20925
11,317,3356
11,319,13249
11,320,144
11,325,6490
11,326,4818
11,328,29034
11,330,829
11,332,84
11,333,1248
11,334,34059
11,340,16445
11,341,32
11,343,90321
11,347,84954
11,349,17660
11,353,57
11,356,17
11,360,355
11,361,275
11,364,8635
11,371,805
11,373,2544
11,376,18471
11,377,26463
11,379,71749
11,386,15416
11,391,138
11,400,10754
11,401,20602
11,402,9230
11,404,3119
11,406,725
11,407,4
11,408,16
11,409,34385
11,410,9
11,411,997
11,412,11162
11,414,43
11,416,52
11,417,6712
11,419,280
11,420,3
11,421,301
11,424,25513
11,430,9926
11,435,38105
11,439,48632
11,442,78102
11,445,18297
11,446,384
11,448,5041
11,449,785
11,450,240
11,451,59
11,452,23994
11,453,161
11,455,18
11,456,192
11,457,16
11,459,29850
11,460,88
11,463,11517
11,465,134
11,466,64381
11,467,3208
11,469,40564
11,477,111968
11,478,10779
11,479,84
11,480,47574
11,481,13222
11,483,2
11,484,230
11,487,6610
11,488,195
11,489,49411
11,497,8062
11,498,15
12,0,22
12,3,18021
12,4,8
12,5,56
12,13,562
12,14,1
12,15,200
12,17,3856
12,18,901
12,19,21479
12,21,2740
12,22,93
12,24,263
12,30,418
12,101,7541
12,105,20175
12,107,174649
12,108,124
12,110,119
12,111,9917
12,113,2520
12,115,24029
12,116,25167
12,118,617
12,120,367
12,121,62557
12,122,40426
12,123,4
12,124,7959
12,125,28319
12,126,49
12,127,69249
12,128,92793
12,129,10
12,130,18575
12,134,95170
12,135,44801
12,137,46532
12,140,49067
12,145,54139
12,149,1
12,150,3832
12,153,90223
12,160,236
12,171,860
12,173,24682
12,174,47
12,178,104940
12,182,582
12,203,178
12,205,71652
12,208,47
12,210,1698
12,211,19020
12,212,18258
12,213,19040
12,215,52314
12,216,11
12,219,41289
12,223,5
12,224,398
12,225,1521
12,232,127716
12,234,11605
12,236,26088
12,237,42034
12,242,3974
12,243,3800
12,244,48180
12,245,656
12,253,96
12,256,1
12,258,25584
12,259,94772
12,261,26
12,262,29
12,265,137624
12,266,17236
12,268,396
12,274,138
12,277,65
12,278,11381
12,280,2027
12,281,1
12,282,1090
12,311,49
12,315,21019
12,317,3393
12,319,13490
12,320,87
12,325,6681
12,326,4662
12,328,28490
12,330,719
12,332,58
12,333,1342
12,334,28539
12,340,18027
12,341,37
