hour,os,nip_h_os
0,375,1
0,376,1
0,382,1
0,400,3
0,406,1
0,408,1
0,410,2
0,427,1
0,435,1
0,436,1
0,438,2
0,444,1
0,445,3
0,458,4
0,463,1
0,476,1
0,507,3
0,508,1
0,511,3
0,530,8
0,552,2
0,557,1
0,573,1
0,584,1
0,596,3
0,597,1
0,603,1
0,607,36165
0,613,2
0,626,1
0,636,1
0,645,4
0,651,1
0,654,3
0,655,20
0,666,1
0,673,1
0,721,2
0,735,1
0,748,34468
0,752,2
0,778,1
0,835,1
0,837,1
0,852,2
0,866,7092
0,872,1
0,903,1
0,904,1
1,0,11384
1,1,116463
1,2,26179
1,3,147254
1,4,29403
1,5,5470
1,6,231834
1,7,9396
1,8,278187
1,9,196097
1,10,274824
1,11,63318
1,12,102511
1,13,2064093
1,14,133574
1,15,229858
1,16,156070
1,17,493802
1,18,470902
1,19,2343447
1,20,205149
1,21,4325
1,22,393200
1,23,92912
1,24,12466
1,25,213271
1,26,46039
1,27,85423
1,28,67499
1,29,3803
1,30,55596
1,31,39255
1,32,78124
1,34,13506
1,35,83604
1,36,34251
1,37,140911
1,38,5129
1,39,4161
1,40,35111
1,41,122926
1,42,14614
1,43,15744
1,44,9204
1,46,16108
1,47,64830
1,48,9968
1,49,29188
1,50,2507
1,52,2709
1,53,67813
1,54,97
1,55,2943
1,56,4612
1,57,782
1,58,10790
1,59,672
1,60,357
1,61,400
1,62,1807
1,63,1000
1,64,2116
1,65,2585
1,66,2989
1,67,163
1,68,72
1,69,387
1,70,3364
1,71,312
1,72,90
1,73,881
1,74,176
1,75,5
1,76,839
1,77,1905
1,78,225
1,79,2616
1,80,346
1,81,226
1,83,555
1,84,72
1,85,553
1,86,62
1,87,225
1,88,70
1,89,116
1,90,551
1,91,1
1,92,165
1,93,4
1,95,18
1,96,1219
1,97,1261
1,98,1125
1,100,704
1,101,107
1,102,227
1,103,15
1,104,2
1,105,64
1,106,96
1,107,68
1,108,11
1,109,840
1,110,130
1,111,45
1,112,134
1,113,41
1,114,134
1,115,22
1,116,9
1,117,136
1,118,121
1,119,15
1,120,5
1,121,1
1,122,6
1,123,28
1,124,13
1,125,23
1,126,8
1,127,9
1,128,4
1,129,7
1,130,5
1,132,141
1,133,69
1,134,59
1,135,20
1,137,53
1,138,73
1,139,2
1,140,43
1,141,180
1,142,18
1,145,93
1,146,1
1,147,4
1,148,32
1,149,28
1,150,6
1,151,82
1,152,49
1,153,16
1,154,1
1,155,130
1,156,93
1,157,9
1,158,15
1,159,13
1,160,2
1,161,1
1,162,11
1,163,11
1,164,13
1,168,25
1,169,6
1,170,6
1,171,34
1,172,64
1,174,68
1,175,1
1,177,2
1,178,61
1,181,1
1,183,42
1,184,123
1,185,46
1,188,11
1,191,1
1,192,14
1,193,9
1,194,1
1,196,9
1,198,91
1,199,6
1,201,1
1,202,3
1,205,5
1,206,1
1,207,2
1,208,3
1,209,5
1,213,1
1,214,17
1,215,2
1,217,20
1,219,1
1,222,3
1,223,13
1,226,29
1,228,13
1,231,4
1,237,24
1,239,3
1,243,1
1,244,1
1,245,1
1,250,2
1,251,3
1,252,14
1,254,5
1,255,1
1,260,1
1,268,1
1,269,1
1,274,2
1,279,2
1,280,3
1,281,4
1,283,2
1,284,14
1,285,1
1,286,2
1,287,1
1,289,1
1,294,1
1,296,1
1,297,1
1,300,1
1,305,1
1,311,1
1,315,1
1,316,3
1,321,1
1,323,2
1,324,4
1,326,5
1,329,1
1,336,2
1,339,3
1,346,1
1,355,1
1,358,4
1,363,1
1,366,1
1,369,1
1,379,1
1,382,2
1,392,1
1,404,4
1,422,1
1,424,1
1,470,1
1,491,1
1,496,1
1,509,2
1,511,2
1,513,2
1,522,1
1,566,1
1,571,2
1,597,1
1,603,3
1,607,33604
1,614,1
1,618,1
1,621,1
1,622,1
1,669,8
1,671,1
1,679,7
1,691,1
1,727,2
1,729,2
1,731,1
1,748,8961
1,779,1
1,802,1
1,838,2
1,849,1
1,863,3
1,866,6692
1,880,1
1,906,3
1,938,1
1,953,2
1,955,1
2,0,14324
2,1,119491
2,2,28147
2,3,154768
2,4,30823
2,5,5948
2,6,243748
2,7,10809
2,8,288787
2,9,205907
2,10,287237
2,11,65691
2,12,106788
2,13,2112668
2,14,135109
2,15,237899
2,16,164027
2,17,507076
2,18,482137
2,19,2381671
2,20,210071
2,21,5611
2,22,396934
2,23,108081
2,24,16061
2,25,223719
2,26,46688
2,27,90804
2,28,68245
2,29,5078
2,30,58333
2,31,43029
2,32,82162
2,34,13672
2,35,89233
2,36,33744
2,37,146161
2,38,6158
2,39,5991
2,40,34770
2,41,132328
2,42,15273
2,43,17204
2,44,10113
2,46,16828
2,47,66376
2,48,9178
2,49,34039
2,50,2972
2,52,2887
2,53,68860
2,54,57
2,55,3085
2,56,4577
2,57,1175
2,58,11133
2,59,689
2,60,401
2,61,421
2,62,1570
2,63,1016
2,64,1787
2,65,3148
2,66,2703
2,67,228
2,68,104
2,69,453
2,70,3809
2,71,371
2,72,130
2,73,1132
2,74,150
2,75,54
2,76,933
2,77,2034
2,78,259
2,79,2735
2,80,351
2,81,191
2,83,547
2,84,64
2,85,475
2,86,68
2,87,191
2,88,125
2,89,162
2,90,662
2,91,12
2,92,230
2,93,2
2,95,40
2,96,1287
2,97,1600
2,98,1260
2,99,2
2,100,577
2,101,107
2,102,275
2,103,1
2,104,2
2,105,128
2,106,135
2,107,133
2,108,6
2,109,869
2,110,119
2,111,60
2,112,222
2,113,27
2,114,60
2,115,17
2,116,6
2,117,193
2,118,205
2,119,25
2,120,1
2,121,13
2,122,15
2,123,72
2,124,28
2,125,26
2,126,8
2,127,17
2,128,7
2,129,11
2,130,2
2,132,88
2,133,50
2,134,66
2,135,35
2,136,29
2,137,199
2,138,74
2,140,51
2,141,193
2,142,82
2,143,1
2,145,44
2,146,1
2,147,20
2,148,44
2,149,28
2,150,11
2,151,64
2,152,113
2,153,9
2,155,249
2,156,171
2,157,13
2,158,26
2,159,16
2,160,4
2,162,2
2,163,9
2,164,20
2,168,69
2,169,45
2,171,34
2,172,30
2,173,22
2,174,53
2,175,15
2,177,5
2,178,39
2,179,1
2,181,1
2,183,44
2,184,117
2,185,10
2,188,40
2,190,3
2,191,1
2,192,22
2,193,1
2,194,6
2,196,7
2,198,100
2,199,7
2,200,2
2,201,3
2,202,2
2,204,1
2,205,2
2,207,2
2,208,7
2,209,10
2,213,8
2,214,16
2,215,6
2,217,59
2,219,17
2,222,1
2,223,16
2,226,14
2,227,1
2,228,3
2,231,15
2,232,2
2,233,3
2,234,5
2,237,7
2,239,2
2,243,1
2,244,2
2,245,2
2,246,2
2,248,2
2,249,1
2,250,5
2,251,6
2,252,1
2,253,1
2,254,2
2,256,4
2,259,1
2,260,7
2,261,2
2,262,1
2,265,1
2,268,5
2,272,1
2,274,7
2,277,2
2,278,1
2,280,1
2,281,11
2,282,1
2,284,11
2,286,2
2,298,3
2,300,4
2,302,3
2,305,8
2,308,1
2,310,1
2,315,4
2,316,3
2,321,1
2,324,3
2,326,5
2,328,1
2,329,1
2,334,1
2,338,4
2,341,5
2,342,1
2,356,1
2,358,1
2,360,2
2,372,1
2,373,3
2,377,1
2,385,1
2,399,1
2,404,2
2,412,3
2,416,4
2,424,1
2,465,2
2,482,1
2,489,1
2,496,1
2,505,1
2,507,3
2,512,1
2,513,1
2,514,3
2,522,1
2,530,1
2,551,1
2,564,1
2,578,1
2,603,5
2,607,33607
2,611,2
2,614,2
2,623,17
2,624,4
2,631,1
2,640,1
2,669,1
2,674,1
2,680,1
2,685,3
2,697,1
2,711,1
2,748,8053
2,750,1
2,753,2
2,756,2
2,769,1
2,776,2
2,777,1
2,780,1
2,781,1
2,782,6
2,791,1
2,793,1
2,794,1
2,796,1
2,797,1
2,809,4
2,820,2
2,840,2
2,854,3
2,858,1
2,866,7417
2,898,1
2,923,1
2,930,2
3,0,15597
3,1,119245
3,2,26048
3,3,156217
3,4,28887
3,5,5560
3,6,235015
3,7,10927
3,8,283971
3,9,202487
3,10,283065
3,11,66334
3,12,105995
3,13,2100654
3,14,138904
3,15,239569
3,16,161940
3,17,506616
3,18,479611
3,19,2394069
3,20,212406
3,21,5871
3,22,406350
3,23,108909
3,24,16780
3,25,223572
3,26,45174
3,27,89712
3,28,70066
3,29,5126
3,30,58562
3,31,43094
3,32,82348
3,34,14734
3,35,88192
3,36,35461
3,37,145323
3,38,6972
3,39,5890
3,40,35481
3,41,132442
3,42,14440
3,43,16402
3,44,9718
3,45,3
3,46,15679
3,47,65890
3,48,9847
3,49,32941
3,50,3126
3,52,2936
3,53,70112
3,54,82
3,55,3200
3,56,4807
3,57,1093
3,58,11027
3,59,730
3,60,459
3,61,422
3,62,1836
3,63,1055
3,64,1907
3,65,3153
3,66,2502
3,67,239
3,68,126
3,69,443
3,70,3926
3,71,281
3,72,125
3,73,837
3,74,149
3,75,20
3,76,929
3,77,1970
3,78,212
3,79,2701
3,80,252
3,81,279
3,83,465
3,84,103
3,85,402
3,86,60
3,87,133
3,88,166
3,89,93
3,90,971
3,91,47
3,92,236
3,93,1
3,94,6
3,95,23
3,96,1129
3,97,1677
3,98,1422
3,99,5
3,100,496
3,101,28
3,102,239
3,103,4
3,104,1
3,105,120
3,106,114
3,107,112
3,108,31
3,109,951
3,110,209
3,111,50
3,112,214
3,113,31
3,114,26
3,115,17
3,116,6
3,117,166
3,118,276
3,119,78
3,120,6
3,121,2
3,122,8
3,123,75
3,124,21
3,125,3
3,126,12
3,127,16
3,128,10
3,129,10
3,130,1
3,131,1
3,132,166
3,133,135
3,134,118
3,135,28
3,137,126
3,138,46
3,140,147
3,141,142
3,142,14
3,145,126
3,146,3
3,147,10
3,148,65
3,149,23
3,150,10
3,151,48
3,152,142
3,153,28
3,155,171
3,156,77
3,157,4
3,158,40
3,159,29
3,161,2
3,162,4
3,163,9
3,164,77
3,168,4
3,169,15
3,171,64
3,172,77
3,173,3
3,174,177
3,177,3
3,178,70
3,181,3
3,183,11
3,184,132
3,185,8
3,186,2
3,188,29
3,192,1
3,193,33
3,194,1
3,196,12
3,198,119
3,199,7
3,201,1
3,203,1
3,205,5
3,206,2
3,207,2
3,208,1
3,209,7
3,211,2
3,214,2
3,215,4
3,217,16
3,219,1
3,222,5
3,223,24
3,224,4
3,226,2
3,228,2
3,229,1
3,231,15
3,232,8
3,233,9
3,234,4
3,239,3
3,241,3
3,244,1
3,245,8
3,248,1
3,250,1
3,251,1
3,252,9
3,260,5
3,262,1
3,269,1
3,272,1
3,274,2
3,277,2
3,278,1
3,281,7
3,282,1
3,284,4
3,286,3
3,287,1
3,294,5
3,302,2
3,306,2
3,307,2
3,309,2
3,310,2
3,316,1
3,321,2
3,324,1
3,326,5
3,329,3
3,330,1
3,338,4
3,339,3
3,342,1
3,363,1
3,372,5
3,373,4
3,380,2
3,400,1
3,412,1
3,430,1
3,475,1
3,496,1
3,508,1
3,511,1
3,513,3
3,536,1
3,555,1
3,557,3
3,562,2
3,566,5
3,603,6
3,607,37031
3,614,2
3,659,1
3,661,1
3,674,1
3,706,1
3,711,1
3,733,2
3,748,6765
3,752,1
3,815,3
3,817,1
3,823,1
3,866,7544
3,884,1
3,896,4
4,0,19053
4,1,138167
4,2,35700
4,3,176368
4,4,34637
4,5,7415
4,6,273503
4,7,12986
4,8,322259
4,9,247121
4,10,323458
4,11,76962
4,12,122866
4,13,2423855
4,14,156607
4,15,270360
4,16,190117
4,17,578980
4,18,548410
4,19,2748876
4,20,245630
4,21,6161
4,22,465931
4,23,115060
4,24,19070
4,25,253101
4,26,53206
4,27,102867
4,28,80309
4,29,5403
4,30,68762
4,31,49339
4,32,98928
4,34,15251
4,35,104437
4,36,41171
4,37,168715
4,38,7943
4,39,5740
4,40,38507
4,41,154108
4,42,19453
4,43,18909
4,44,10983
4,46,17309
4,47,78524
4,48,10237
4,49,35664
4,50,3898
4,52,3606
4,53,83916
4,54,49
4,55,3731
4,56,6623
4,57,1146
4,58,14028
4,59,877
4,60,654
4,61,445
4,62,2216
4,63,1510
4,64,2655
4,65,3826
4,66,3309
4,67,256
4,68,138
4,69,387
4,70,4667
4,71,390
4,72,135
4,73,3424
4,74,189
4,75,27
4,76,1100
4,77,2591
4,78,440
4,79,3478
4,80,173
4,81,271
4,83,751
4,84,85
4,85,455
4,86,72
4,87,380
4,88,135
4,89,127
4,90,1063
4,91,43
4,92,277
4,94,14
4,95,39
4,96,1416
4,97,2068
4,98,1352
4,99,8
4,100,728
4,101,32
4,102,235
4,103,25
4,104,10
4,105,143
4,106,131
4,107,102
4,108,31
4,109,969
4,110,353
4,111,83
4,112,126
4,113,31
4,114,95
4,115,25
4,116,4
4,117,173
4,118,278
4,119,10
4,120,19
4,122,13
4,123,75
4,124,30
4,125,18
4,126,7
4,127,19
4,128,20
4,129,11
4,130,3
4,132,248
4,133,67
4,134,184
4,135,14
4,137,159
4,138,44
4,140,49
4,141,168
4,142,18
4,143,3
4,145,90
4,146,2
4,147,14
4,148,132
4,149,22
4,150,7
4,151,28
4,152,104
4,153,47
4,154,1
4,155,337
4,156,113
4,157,2
4,158,10
4,159,20
4,160,15
4,161,1
4,162,10
4,163,7
4,164,114
4,168,10
4,169,25
4,171,67
4,172,78
4,173,5
4,174,144
4,175,14
4,177,3
4,178,32
4,181,1
4,183,2
4,184,142
4,185,12
4,188,49
4,190,18
4,192,6
4,193,35
4,194,3
4,196,10
4,198,139
4,199,4
4,201,1
4,205,3
4,207,6
4,208,14
4,209,38
4,214,12
4,215,1
4,217,9
4,219,1
4,222,4
4,223,17
4,224,2
4,226,4
4,228,3
4,229,1
4,231,22
4,232,2
4,233,8
4,234,1
4,237,2
4,239,1
4,241,1
4,242,1
4,243,3
4,245,3
4,248,2
4,251,4
4,252,19
4,254,1
4,260,12
4,265,4
4,269,1
4,274,5
4,277,1
4,281,10
4,284,7
4,286,3
4,287,1
4,294,3
4,296,1
4,298,6
4,302,2
4,316,2
4,318,1
4,326,4
4,336,1
4,342,3
4,355,1
4,361,1
4,364,4
4,372,4
4,373,1
4,380,1
4,385,1
4,400,1
4,404,4
4,409,1
4,426,2
4,465,8
4,491,1
4,513,5
4,514,2
4,543,1
4,566,1
4,579,1
4,603,1
4,607,44404
4,622,1
4,629,3
4,642,1
4,658,2
4,689,1
4,709,4
4,710,2
4,717,1
4,723,4
4,747,5
4,748,7231
4,750,1
4,777,3
4,817,1
4,834,1
4,865,1
4,866,7861
4,891,2
4,901,4
4,926,1
4,948,2
5,0,16984
5,1,121685
5,2,31801
5,3,159311
5,4,32092
5,5,7453
5,6,254299
5,7,11287
5,8,292390
5,9,224477
5,10,288156
5,11,68894
5,12,109662
5,13,2175483
5,14,142027
5,15,241965
5,16,170775
5,17,523058
5,18,498690
5,19,2444252
5,20,217882
5,21,5334
5,22,410219
5,23,99537
5,24,18219
5,25,226756
5,26,48827
5,27,92674
5,28,71339
5,29,5367
5,30,61886
5,31,42806
5,32,88485
5,34,14188
5,35,91902
5,36,37231
5,37,154764
5,38,6850
5,39,5336
5,40,35135
5,41,137032
5,42,18133
5,43,17120
5,44,9347
5,45,1
5,46,15581
5,47,70796
5,48,9591
5,49,33509
5,50,3304
5,52,3190
5,53,69859
5,54,80
5,55,3711
5,56,5632
5,57,1149
5,58,13339
5,59,822
5,60,469
5,61,456
5,62,1827
5,63,1344
5,64,2464
5,65,4122
5,66,3146
5,67,255
5,68,171
5,69,456
5,70,4126
5,71,545
5,72,155
5,73,2131
5,74,178
5,75,34
5,76,1126
5,77,2314
5,78,282
5,79,3314
5,80,183
5,81,167
5,83,559
5,84,137
5,85,490
5,86,47
5,87,379
5,88,112
5,89,212
5,90,1356
5,91,10
5,92,265
5,93,4
5,94,4
5,95,110
5,96,1267
5,97,2385
5,98,1488
5,99,7
5,100,971
5,101,65
5,102,263
5,103,10
5,104,9
5,105,80
5,106,243
5,107,108
5,108,47
5,109,771
5,110,225
5,111,78
5,112,134
5,113,41
5,114,170
5,115,13
5,116,2
5,117,184
5,118,141
5,119,32
5,120,5
5,122,10
5,123,35
5,124,48
5,125,12
5,126,2
5,127,7
5,128,17
5,129,9
5,130,3
5,131,1
5,132,174
5,133,89
5,134,132
5,135,23
5,137,216
5,138,121
5,140,41
5,141,142
5,142,34
5,143,2
5,145,95
5,146,1
5,147,44
5,148,12
5,149,33
5,150,4
5,151,56
5,152,69
5,153,23
5,155,201
5,156,88
5,157,11
5,158,6
5,159,6
5,160,5
5,161,4
5,162,25
5,163,7
5,164,69
5,168,38
5,170,1
5,171,68
5,172,41
5,173,2
5,174,88
5,175,2
5,176,4
5,177,2
5,178,55
5,179,2
5,181,1
5,183,21
5,184,207
5,185,16
5,188,36
5,190,2
5,192,14
5,193,1
5,194,4
5,196,18
5,198,99
5,199,4
5,202,1
5,204,4
5,205,2
5,207,6
5,208,9
5,213,1
5,214,11
5,215,8
5,217,73
5,219,3
5,222,7
5,223,16
5,226,1
5,227,1
5,228,6
5,229,4
5,231,13
5,232,1
5,233,5
5,237,1
5,241,1
5,243,1
5,244,1
5,245,2
5,248,1
5,250,1
5,251,2
5,252,3
5,254,3
5,260,8
5,261,1
5,262,13
5,281,9
5,284,10
5,287,1
5,294,1
5,298,2
5,300,2
5,302,7
5,316,1
5,321,3
5,324,2
5,326,5
5,338,6
5,341,2
5,342,2
5,347,3
5,355,1
5,372,3
5,373,3
5,400,9
5,404,3
5,407,2
5,409,1
5,414,2
5,438,4
5,464,2
5,470,1
5,475,3
5,505,1
5,510,1
5,511,1
5,514,4
5,531,2
5,551,4
5,603,4
5,607,37945
5,609,1
5,627,1
5,645,5
5,646,1
5,689,2
5,703,2
5,711,2
5,714,2
5,725,2
5,733,1
5,744,2
5,748,7254
5,758,1
5,762,2
5,811,9
5,817,1
5,866,7835
5,886,4
5,919,1
5,920,2
5,947,1
6,0,18241
6,1,113940
6,2,27395
6,3,151903
6,4,28953
6,5,6141
6,6,240136
6,7,9603
6,8,277059
6,9,198131
6,10,277418
6,11,63371
6,12,104226
6,13,2023952
6,14,136483
6,15,232463
6,16,163921
6,17,490076
6,18,471538
6,19,2308138
6,20,205247
6,21,6137
6,22,390844
6,23,102973
6,24,20000
6,25,217013
6,26,46642
6,27,86512
6,28,68114
6,29,5591
6,30,57041
6,31,41083
6,32,81927
6,34,13075
6,35,87970
6,36,34334
6,37,143062
6,38,7404
6,39,5480
6,40,33410
6,41,127849
6,42,15656
6,43,14954
6,44,9116
6,45,2
6,46,16062
6,47,63817
6,48,8797
6,49,32225
6,50,3792
6,52,3031
6,53,66784
6,54,67
6,55,3714
6,56,5085
6,57,1152
6,58,11958
6,59,927
6,60,625
6,61,484
6,62,1992
6,63,1093
6,64,2354
6,65,3265
6,66,2401
6,67,219
6,68,141
6,69,629
6,70,3985
6,71,501
6,72,137
6,73,989
6,74,232
6,75,6
6,76,1222
6,77,2249
6,78,262
6,79,2509
6,80,344
6,81,210
6,83,423
6,84,145
6,85,490
6,86,69
6,87,308
6,88,56
6,89,138
6,90,985
6,91,8
6,92,206
6,93,1
6,94,5
6,95,47
6,96,1056
6,97,2143
6,98,1244
6,99,6
6,100,754
6,101,42
6,102,201
6,103,7
6,104,11
6,105,114
6,106,150
6,107,127
6,108,27
6,109,706
6,110,128
6,111,74
6,112,106
6,113,45
6,114,27
6,115,13
6,116,6
6,117,158
6,118,159
6,119,27
6,120,29
6,121,5
6,122,7
6,123,92
6,124,60
6,125,20
6,126,5
6,127,19
6,128,16
6,129,11
6,130,1
6,131,1
6,132,147
6,133,82
6,134,137
6,135,26
6,137,73
6,138,98
6,140,45
6,141,137
6,142,20
6,143,11
6,145,78
6,147,14
6,148,38
6,149,21
6,150,1
6,151,20
6,152,81
6,153,71
6,155,163
6,156,39
6,157,4
6,158,7
6,159,17
6,160,10
6,161,1
6,162,14
6,163,10
6,164,20
6,168,17
6,169,26
6,171,38
6,172,67
6,174,97
6,175,4
6,178,68
6,181,3
6,183,4
6,184,82
6,185,1
6,188,61
6,190,1
6,191,3
6,192,13
6,193,3
6,194,3
6,196,6
6,198,115
6,199,7
6,200,2
6,201,1
6,202,1
6,205,2
6,207,3
6,208,1
6,209,4
6,213,1
6,214,11
6,215,15
6,217,7
6,222,5
6,223,23
6,226,20
6,228,1
6,229,4
6,231,14
6,232,4
6,233,9
6,234,1
6,237,4
6,239,1
6,241,2
6,245,2
6,251,3
6,252,1
6,254,2
6,256,5
6,257,1
6,260,25
6,261,1
6,262,1
6,274,11
6,281,4
6,284,7
6,286,1
6,294,2
6,298,1
6,300,3
6,302,1
6,305,1
6,316,7
6,321,2
6,326,2
6,341,2
6,355,2
6,372,5
6,373,4
6,404,1
6,408,1
6,411,1
6,436,1
6,442,2
6,444,11
6,451,1
6,461,3
6,470,1
6,475,8
6,509,1
6,522,1
6,530,2
6,543,1
6,573,1
6,584,1
6,602,1
6,607,34380
6,616,2
6,621,1
6,655,1
6,663,1
6,694,1
6,734,1
6,735,2
6,744,2
6,748,7921
6,825,1
6,836,8
6,866,9019
6,873,2
6,943,1
7,0,19968
7,1,112652
7,2,27458
7,3,145731
7,4,28716
7,5,5895
7,6,226970
7,7,9858
7,8,269763
7,9,193971
7,10,264938
7,11,62778
7,12,101469
7,13,1979037
7,14,132747
7,15,224810
7,16,159265
7,17,478221
7,18,455470
7,19,2280002
7,20,199686
7,21,7043
7,22,378103
7,23,98682
7,24,22195
7,25,205855
7,26,42233
7,27,84396
7,28,65822
7,29,6610
7,30,56169
7,31,40647
7,32,78424
7,34,12290
7,35,84250
7,36,34809
7,37,138506
7,38,8518
7,39,5448
7,40,32497
7,41,126015
7,42,16537
7,43,16181
7,44,9558
7,45,2
7,46,16011
7,47,65708
7,48,8496
7,49,31013
7,50,4106
7,52,2715
7,53,67053
7,54,99
7,55,3594
7,56,5149
7,57,1329
7,58,11747
7,59,741
7,60,576
7,61,455
7,62,1401
7,63,1024
7,64,2462
7,65,3253
7,66,2863
7,67,230
7,68,96
7,69,487
7,70,3832
7,71,438
7,72,130
7,73,1107
7,74,205
7,75,23
7,76,1175
7,77,2448
7,78,158
7,79,2872
7,80,448
7,81,195
7,83,458
7,84,116
7,85,430
7,86,58
7,87,55
7,88,114
7,89,93
7,90,832
7,91,3
7,92,283
7,93,1
7,94,6
7,95,99
7,96,922
7,97,1829
7,98,1192
7,99,11
7,100,791
7,101,37
7,102,506
7,103,11
7,104,5
7,105,116
7,106,114
7,107,83
7,108,19
7,109,761
7,110,79
7,111,119
7,112,93
7,113,50
7,114,68
7,115,13
7,116,5
7,117,129
7,118,147
7,119,23
7,120,5
7,122,10
7,123,74
7,124,25
7,125,7
7,126,8
7,127,19
7,128,6
7,129,15
7,130,6
7,132,100
7,133,62
7,134,86
7,135,27
7,137,60
7,138,113
7,139,1
7,140,60
7,141,43
7,142,35
7,143,2
7,145,123
7,146,2
7,147,3
7,148,38
7,149,17
7,150,1
7,151,45
7,152,293
7,153,22
7,154,1
7,155,244
7,156,39
7,157,12
7,158,34
7,159,19
7,160,2
7,161,2
7,162,6
7,163,7
7,164,23
7,168,24
7,169,13
7,170,1
7,171,17
7,172,48
7,173,2
7,174,273
7,175,10
7,176,1
7,177,2
7,178,89
7,181,2
7,183,1
7,184,110
7,185,6
7,187,2
7,188,39
7,191,2
7,192,3
7,193,15
7,196,19
7,198,180
7,199,4
7,201,1
7,203,4
7,205,3
7,207,1
7,208,2
7,209,22
7,214,4
7,215,1
7,217,14
7,222,2
7,223,9
7,226,8
7,228,6
7,229,4
7,231,20
7,232,3
7,233,7
7,237,2
7,241,2
7,245,4
7,246,1
7,248,1
7,251,3
7,252,3
7,254,7
7,255,1
7,260,3
7,261,1
7,262,5
7,274,1
7,277,1
7,281,4
7,284,5
7,287,1
7,289,3
7,290,2
7,294,1
7,302,3
7,303,1
7,305,1
7,306,2
7,315,1
7,316,2
7,321,1
7,323,2
7,326,2
7,329,1
7,336,1
7,338,1
7,341,5
7,346,1
7,355,10
7,358,2
7,365,1
7,372,2
7,373,4
7,385,1
7,400,6
7,404,4
7,411,1
7,434,2
7,444,1
7,464,1
7,474,1
7,491,1
7,499,1
7,507,1
7,509,1
7,513,2
7,522,1
7,603,1
7,607,41468
7,614,2
7,639,1
7,665,1
7,698,1
7,713,1
7,741,1
7,748,7601
7,758,2
7,772,1
7,781,1
7,783,1
7,784,2
7,789,1
7,817,1
7,853,2
7,860,1
7,861,1
7,866,10138
7,908,2
7,912,1
7,917,3
7,918,2
7,931,3
7,956,2
8,0,23522
8,1,105877
8,2,28910
8,3,135765
8,4,27033
8,5,6575
8,6,216182
8,7,10217
8,8,243135
8,9,188839
8,10,245088
8,11,61004
8,12,92730
8,13,1815159
8,14,115999
8,15,211544
8,16,143388
8,17,445620
8,18,410834
8,19,2084872
8,20,185495
8,21,7771
8,22,349845
8,23,91700
8,24,25510
8,25,190585
8,26,42195
8,27,79376
8,28,60503
